Source,Type,section-nr,book-nr
isokrates,individual,56,2
aischines_socr,individual,56,2
,,57,2
isaios,individual,57,2
antiphon_rhet,individual,57,2
aristophanes_com,individual,57,2
platon_phil,individual,57,2
xenophon,individual,57,2
lysias,individual,57,2
,,58,2
antiphon_soph,individual,58,2
thoukydides,individual,58,2
thoukydides,individual,58,2
herodotos,individual,58,2
isokrates,individual,58,2
andokides,individual,58,2
isaios,individual,58,2
demosthenes,individual,58,2
hypereides,individual,58,2
kritias,individual,58,2
antiphon_rhet,individual,58,2
,,59,2
antiphon_rhet,individual,59,2
demosthenes,individual,59,2
herodotos,individual,59,2
xenophon,individual,59,2
aristophanes_com,individual,59,2
,,60,2
ktesias,individual,60,2
,,61,2
isaios,individual,61,2
antiphon_soph,individual,61,2
kratinos,individual,61,2
,,62,2
herodotos,individual,62,2
hypereides,individual,62,2
,,63,2
platon_phil,individual,63,2
poetry,group,63,2
isokrates,individual,63,2
homeros,individual,64,2
,,64,2
alexis,individual,64,2
herodotos,individual,64,2
isaios,individual,64,2
platon_phil,individual,64,2
homeros,individual,64,2
sophokles,individual,64,2
poetry.comedy,group,64,2
demosthenes,individual,64,2
xenophon,individual,64,2
homeros,individual,64,2
,,65,2
platon_phil,individual,65,2
aristophanes_com,individual,65,2
semonides_amorg,individual,65,2
,,66,2
undefined,group,66,2
,,67,2
poetry,group,67,2
xenophon,individual,67,2
aristophanes_com,individual,67,2
,,68,2
aristoteles,individual,68,2
,,69,2
simon_ath,individual,69,2
,,70,2
prose.medicine,group,70,2
,,71,2
prose.medicine,group,71,2
,,72,2
sophokles,individual,72,2
poetry.comedy,group,72,2
,,73,2
platon_phil,individual,73,2
,,74,2
poetry.tragedy,group,74,2
,,75,2
aristophanes_com,individual,75,2
poetry,group,75,2
,,76,2
prose.ionic,group,76,2
prose.aeolic,group,76,2
antiphon_rhet,individual,76,2
aristophanes_com,individual,76,2
,,77,2
platon_phil,individual,77,2
thoukydides,individual,77,2
xenophon,individual,77,2
eupolis,individual,77,2
,,78,2
hippokrates,individual,78,2
attic,group,78,2
kratinos,individual,78,2
poetry.comedy,group,78,2
lysias,individual,78,2
undefined,group,78,2
menandros,individual,78,2
,,79,2
,,80,2
,,81,2
undefined,group,81,2
xenophon,individual,81,2
,,82,2
aischines_rhet,individual,82,2
xenophon,individual,82,2
menandros,individual,82,2
platon_phil,individual,82,2
phrynichos,individual,82,2
,,83,2
platon_com,individual,83,2
platon_phil,individual,83,2
,,84,2
aischines_socr,individual,84,2
